country.name,num.code
Belgium,124
Bulgaria,918
Czech_Rep,935
Denmark,128
Germany,134
Estonia,939
Ireland,178
Greece,174
Spain,184
France,132
Croatia,960
Italy,136
Cyprus,423
Latvia,941
Lithuania,946
Luxembourg,137
Hungary,944
Malta,181
Netherlands,138
Austria,122
Poland,964
Portugal,182
Romania,968
Slovenia,961
Slovakia,936
Finland,172
Sweden,144
United_Kingdom,112
Norway,142
Switzerland,146
Turkey,186
Russia,922
USA,111
Canada,156
Mexico,273
Brazil,223
Australia,193
New_Zealand,196
Japan,158
China,924
Hong_Kong,532
Korea,542
Euro_Area,19
European_Union,27
IC37,37
gr42,42